"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Skyy Moore","KC","48.0","616.0","3.5","6.1","36.2","0.2","2.9","105.5"
"Isaiah Hodgins","NYG","47.2","540.0","4.9","0.0","0.7","0.0","0.7","105.5"
"Van Jefferson","LAR","42.2","598.7","3.9","0.9","6.1","0.0","0.0","105.1"
"K.J. Osborn","MIN","47.5","543.3","4.3","2.6","12.2","0.1","0.3","104.9"
"Robert Woods","HOU","55.5","552.1","2.8","4.1","19.6","0.2","0.4","101.8"
"Odell Beckham Jr.","BAL","41.2","557.9","3.5","1.4","20.5","0.3","0.1","101.0"
"Elijah Moore","CLE","42.7","578.5","3.1","4.9","24.4","0.2","0.3","100.7"
"Rashid Shaheed","NO","36.8","582.1","2.4","3.4","47.1","0.9","0.3","100.3"
"John Metchie III","HOU","43.6","583.6","3.0","1.5","10.9","0.1","0.2","99.1"
"Jayden Reed","GB","45.1","580.3","2.8","1.3","12.9","0.1","0.2","98.3"
"Russell Gage","TB","53.9","542.4","2.7","0.4","1.5","0.0","0.6","96.5"
"Greg Dortch","ARI","54.6","499.9","2.0","6.4","51.6","0.1","0.6","93.4"
"Darius Slayton","NYG","38.1","583.7","2.4","0.7","1.9","0.0","0.6","90.9"
"Alec Pierce","IND","36.6","577.1","2.4","0.0","0.2","0.0","0.0","90.5"
"Khalil Shakir","BUF","41.4","540.0","2.4","1.8","9.2","0.1","0.2","90.3"
"Mecole Hardman Jr.","NYJ","37.6","457.5","2.6","8.1","62.6","0.9","0.9","90.1"
"Allen Robinson II","PIT","42.5","532.2","2.5","0.1","0.4","0.0","0.0","89.8"
"Mack Hollins","ATL","43.3","490.6","2.8","0.7","16.0","0.1","0.2","89.1"
"Corey Davis","NYJ","36.8","544.6","2.6","0.0","0.5","0.0","0.1","88.2"
"Chase Claypool","CHI","35.3","503.3","2.6","6.0","40.2","0.2","0.5","87.9"
"Marvin Jones Jr.","DET","36.5","481.2","3.0","0.1","0.6","0.0","0.0","84.5"
"Tyquan Thornton","NE","35.6","444.4","2.8","3.0","11.6","0.7","0.0","84.3"
"Rashee Rice","KC","34.1","498.3","2.8","1.5","9.6","0.0","0.5","84.1"
"Parris Campbell","NYG","35.7","436.7","2.2","3.2","36.8","0.1","0.2","78.3"
"Joshua Palmer","LAC","37.1","467.5","2.1","0.7","2.3","0.0","0.3","77.6"
"Wan'Dale Robinson","NYG","35.4","456.4","1.9","2.5","10.1","0.1","0.5","75.1"
"Ben Skowronek","LAR","40.8","395.1","1.7","0.5","5.7","0.4","0.0","72.8"
"Josh Reynolds","DET","31.4","437.2","2.1","0.4","0.6","0.0","0.2","71.8"
"Jalin Hyatt","NYG","31.6","429.9","2.0","1.4","9.5","0.0","0.5","71.1"
"Nick Westbrook-Ikhine","TEN","29.1","400.3","2.5","0.0","0.4","0.0","0.2","69.1"
"Kendrick Bourne","NE","26.6","401.3","1.7","3.7","28.0","0.1","0.1","67.3"
"Terrace Marshall Jr.","CAR","22.9","412.5","1.4","0.0","0.2","0.0","0.0","60.9"
"Richie James Jr.","KC","26.8","350.8","2.2","0.6","1.7","0.0","1.2","59.5"
"Sterling Shepard","NYG","26.3","336.0","1.6","2.0","12.8","0.1","0.3","57.2"
"Isaiah McKenzie","IND","25.9","301.6","1.3","7.9","38.3","0.3","0.0","56.5"
"Marvin Mims Jr.","DEN","21.3","346.5","1.5","1.1","5.3","0.0","0.2","54.7"
"Laviska Shenault Jr.","CAR","19.8","265.5","0.8","18.6","88.1","0.8","0.2","54.3"
"Josh Downs","IND","19.7","343.1","1.3","1.2","8.1","0.0","0.2","52.4"
