"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Israel Abanikanda","NYJ","73.9","301.6","1.6","11.5","116.9","0.4","0.9","57.8"
"Kyren Williams","LAR","83.4","302.6","1.2","14.4","120.5","0.3","0.5","57.7"
"Ronald Jones II","DAL","83.5","351.6","2.2","5.0","42.4","0.2","0.7","54.5"
"Matt Breida","NYG","59.1","264.5","1.2","12.9","103.4","0.3","0.8","50.5"
"Latavius Murray","BUF","57.8","277.0","1.6","10.3","71.9","0.2","0.3","50.0"
"Zack Moss","IND","69.9","306.5","1.5","8.4","59.2","0.2","0.5","49.7"
"Isaiah Spiller","LAC","69.3","269.2","1.2","9.5","80.5","0.3","0.3","47.9"
"Kenyan Drake","IND","54.7","226.0","1.1","12.6","95.7","0.2","0.5","44.8"
"Corey Clement","ARI","55.5","202.1","1.7","11.7","79.0","0.2","0.4","44.4"
"Malik Davis","DAL","63.6","263.4","1.4","5.7","59.6","0.2","0.3","44.4"
"Zach Evans","LAR","60.9","221.9","1.2","9.3","86.7","0.4","0.5","44.3"
"Melvin Gordon III","BAL","56.2","231.5","0.9","11.7","89.2","0.3","0.8","43.9"
"Deuce Vaughn","DAL","45.4","208.9","1.2","11.2","83.2","0.3","0.5","42.5"
"Ty Montgomery","NE","39.3","120.5","0.6","19.0","130.0","0.7","0.1","41.9"
"JaMycal Hasty","JAC","37.1","179.4","1.0","13.1","96.2","0.4","0.4","41.7"
"Eric Gray","NYG","50.0","212.7","1.1","8.5","71.6","0.4","0.5","40.9"
"Ameer Abdullah","LV","29.3","102.5","0.4","19.3","143.6","0.6","0.4","39.8"
"Deon Jackson","IND","44.0","138.1","0.6","17.6","111.5","0.5","0.6","39.2"
"Royce Freeman","LAR","15.5","191.9","1.0","10.8","63.8","0.2","0.4","37.4"
"DeeJay Dallas","SEA","33.1","160.5","0.8","11.1","88.3","0.3","0.1","36.7"
"Sean Tucker","TB","52.9","207.5","0.8","7.1","66.5","0.2","0.3","36.4"
"Hassan Haskins","TEN","39.6","152.1","0.5","13.0","89.8","0.3","0.2","35.5"
"Ke'Shawn Vaughn","TB","51.7","205.4","1.2","6.3","41.5","0.2","0.6","35.0"
"Jordan Mason","SF","50.3","229.3","0.8","2.9","34.7","0.1","0.4","32.5"
"Kevin Harris","NE","61.2","207.4","1.1","3.1","31.3","0.1","0.2","32.1"
"Kene Nwangwu","MIN","43.9","148.8","0.9","8.7","57.4","0.3","0.2","31.4"
"Raheem Blackshear","CAR","30.4","116.8","1.2","9.5","71.6","0.2","0.4","31.3"
"Chris Rodriguez Jr.","WAS","41.2","170.0","0.8","6.7","49.4","0.1","0.1","30.6"
"DeWayne McBride","MIN","51.7","172.3","0.8","4.1","55.9","0.1","0.2","30.1"
"Evan Hull","IND","45.7","174.6","0.6","5.2","62.0","0.1","0.2","30.0"
"Trayveon Williams","CIN","49.2","181.4","0.6","6.4","51.4","0.2","0.9","29.6"
"Zamir White","LV","53.5","181.3","1.3","3.1","15.6","0.1","0.1","29.6"
"Boston Scott","PHI","32.6","148.6","1.2","3.6","36.0","0.1","0.5","26.8"
"Chris Evans","CIN","28.9","104.0","0.3","9.9","74.0","0.3","0.2","26.4"
"Travis Homer","CHI","19.4","97.9","0.3","9.8","80.9","0.3","0.1","26.2"
"Kyle Juszczyk","SF","8.3","28.2","0.3","13.0","108.7","0.6","0.0","26.0"
"Anthony McFarland Jr.","PIT","18.3","121.3","0.6","8.2","48.4","0.2","0.1","25.8"
"J.J. Taylor","NE","4.5","121.3","0.9","5.6","44.2","0.2","0.2","25.6"
"Sincere McCormick","LV","30.0","136.0","1.0","4.0","39.0","0.0","0.0","25.5"
"Patrick Taylor Jr.","GB","21.2","113.8","0.9","6.1","42.9","0.3","0.1","25.3"
"Jonathan Williams","WAS","41.1","119.6","0.7","6.4","44.8","0.2","0.1","24.7"
"Kenny McIntosh","SEA","39.0","146.4","0.5","4.0","49.1","0.0","0.2","24.2"
"D'Ernest Johnson","JAC","34.3","141.6","0.5","4.7","41.9","0.1","0.0","23.9"
"Brandon Bolden","LV","19.4","84.5","0.6","7.9","64.1","0.2","0.2","23.8"
"Tony Jones Jr.","DEN","40.8","121.7","0.7","5.2","36.5","0.2","0.1","23.6"
"James Robinson","NYG","48.4","156.0","0.2","4.0","49.2","0.1","0.4","23.3"
"Demetric Felton Jr.","CLE","17.4","77.7","0.3","10.7","73.5","0.2","0.1","23.2"
"Tyrion Davis-Price","SF","33.6","131.7","0.4","3.6","44.8","0.1","0.2","22.2"
"Dare Ogunbowale","HOU","10.6","78.2","0.5","7.4","52.7","0.2","0.0","20.9"
"Gary Brightwell","NYG","18.2","96.0","0.7","6.0","33.4","0.2","0.1","20.8"
"Mike Boone","HOU","23.3","99.9","0.4","5.8","40.3","0.2","0.1","20.4"
"Tyler Badie","DEN","15.2","79.4","0.4","7.6","48.0","0.2","0.1","20.3"
"Hunter Luepke","DAL","18.0","47.8","0.6","6.7","45.4","0.6","0.0","20.0"
"John Kelly Jr.","CLE","19.0","81.9","0.5","5.8","42.9","0.3","0.2","19.8"
"Snoop Conner","JAC","22.7","100.2","0.8","3.2","21.8","0.1","0.1","19.0"
"Deneric Prince","KC","29.7","99.1","0.3","4.4","42.9","0.1","0.2","19.0"
"Salvon Ahmed","MIA","31.7","97.1","0.1","4.3","52.1","0.1","0.0","18.1"
"Myles Gaskin","MIA","32.4","98.1","0.1","4.4","56.3","0.1","0.4","17.8"
"Lew Nichols III","GB","25.5","101.8","0.5","4.0","27.1","0.0","0.1","17.8"
"Rico Dowdle","DAL","33.5","101.7","0.4","2.8","29.0","0.1","0.1","17.5"
"Brittain Brown","LV","17.3","77.7","0.6","4.1","33.7","0.1","0.0","17.2"
"Reggie Gilliam","BUF","4.5","18.8","0.2","8.9","65.5","0.5","0.0","17.0"
"Craig Reynolds","DET","16.7","67.8","0.3","5.1","47.0","0.2","0.0","16.8"
"Justice Hill","BAL","17.2","71.6","0.3","6.5","39.0","0.2","0.2","16.4"
"Alec Ingold","MIA","4.9","12.7","0.1","10.2","67.3","0.4","0.0","15.9"
"Damarea Crockett","NYJ","14.1","59.5","0.4","4.6","34.0","0.3","0.0","15.5"
"Ty'Son Williams","ARI","19.8","73.6","0.5","3.7","26.3","0.1","0.0","15.1"
"Darrynton Evans","BUF","10.6","36.6","0.1","8.9","39.7","0.3","0.1","13.9"
"C.J. Ham","MIN","7.1","20.7","0.1","7.6","49.7","0.3","0.0","13.4"
"Julius Chestnut","TEN","12.6","44.8","0.1","5.7","37.4","0.2","0.1","12.6"
"Larry Rountree III","LAC","10.0","41.3","0.3","4.6","33.8","0.2","0.1","12.5"
"Zander Horvath","LAC","8.2","19.6","0.0","5.9","21.9","0.8","0.0","12.1"
"Trey Sermon","PHI","17.5","58.8","0.1","3.8","29.6","0.1","0.1","11.6"
"Trestan Ebner","CHI","17.7","59.9","0.1","2.9","26.5","0.1","0.1","10.9"
"Patrick Ricard","BAL","5.9","16.8","0.1","7.0","42.8","0.3","0.4","10.9"
"La'Mical Perine","KC","4.2","17.6","0.2","5.0","35.7","0.3","0.0","10.9"
"Godwin Igwebuike","ATL","0.0","13.3","0.1","6.0","43.5","0.2","0.1","10.6"
"Jermar Jefferson","DET","4.6","19.4","0.2","4.4","34.5","0.3","0.0","10.4"
"Qadree Ollison","JAC","4.5","18.8","0.2","4.5","31.9","0.2","0.0","9.3"
"Jason Cabinda","DET","4.6","12.5","0.1","4.4","33.3","0.3","0.0","9.1"
"Giovanni Ricci","CAR","4.6","19.6","0.2","4.1","29.9","0.2","0.0","9.0"
"Spencer Brown","CAR","4.6","19.7","0.2","4.1","28.5","0.2","0.0","8.9"
"Patrick Laird","TB","4.4","18.2","0.2","4.1","30.5","0.2","0.0","8.9"
"Nate McCrary","GB","5.4","22.7","0.1","3.8","28.1","0.2","0.0","8.6"
"Ronnie Rivers","LAR","4.6","19.4","0.1","4.0","30.4","0.2","0.0","8.6"
"Jonathan Ward","TEN","10.1","42.9","0.2","1.9","14.0","0.1","0.0","8.3"
"Gerrid Doaks","HOU","4.7","19.8","0.1","4.0","27.7","0.2","0.0","8.3"
"Avery Williams","ATL","5.4","22.8","0.2","3.5","22.4","0.2","0.0","8.3"
"Jake Funk","IND","5.5","23.2","0.1","3.5","24.1","0.2","0.0","7.9"
"Adam Prentice","NO","0.0","11.3","0.1","4.0","19.7","0.2","0.0","7.0"
"Henry Pearson","GB","0.0","13.1","0.1","3.7","16.4","0.2","0.0","6.8"
"Michael Burton","DEN","4.7","12.1","0.1","3.3","19.3","0.2","0.0","6.7"
"Jaret Patterson","WAS","9.3","30.1","0.1","2.4","12.5","0.1","0.0","6.7"
"Jack Colletto","SF","0.0","7.3","0.1","3.6","16.3","0.2","0.0","5.7"
"Khari Blasingame","CHI","5.8","13.8","0.1","2.6","12.1","0.1","0.0","5.3"
"Jakob Johnson","LV","0.0","2.0","0.0","4.5","16.0","0.2","0.0","5.2"
"Keith Smith","ATL","5.4","12.2","0.1","2.8","11.5","0.1","0.0","5.1"
"Ellis Merriweather","NO","0.0","10.2","0.1","0.5","3.7","0.0","0.0","2.3"
"Tyler Goodson","GB","0.0","10.2","0.1","0.5","2.6","0.0","0.0","2.2"
"Khalan Laborn","SF","0.0","0.0","0.0","0.5","3.3","0.0","0.0","0.7"
"Nick Bellore","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mohamed Ibrahim","DET","29.5","93.5","0.0","0.0","34.7","0.0","0.2","0.0"
"Jaleel McLaughlin","DEN","15.0","45.0","0.0","0.0","16.7","0.0","0.1","0.0"
"Marlon Mack","ARI","46.8","165.5","0.0","0.0","27.8","0.0","0.0","0.0"
"Keaton Mitchell","BAL","26.6","83.6","0.0","0.0","31.0","0.0","0.1","0.0"
""
""
