"Player","Team","REC","YDS","TDS","FL","FPTS"
"Ko Kieft","TB","7.8","82.3","0.6","0.0","15.9"
"Marcedes Lewis","CHI","8.0","49.0","1.1","0.0","15.5"
"Tyler Kroft","MIA","8.0","79.3","0.6","0.0","15.4"
"Drew Sample","CIN","8.6","81.7","0.5","0.1","15.2"
"Hunter Long","LAR","5.3","94.3","0.5","0.1","14.8"
"Reggie Gilliam","BUF","8.3","64.8","0.6","0.0","14.8"
"James Mitchell","DET","5.7","88.8","0.5","0.0","14.4"
"Cole Turner","WAS","3.7","98.3","0.3","0.1","13.7"
"Will Mallory","IND","5.1","80.1","0.5","0.0","13.4"
"Jesper Horsted","LV","5.8","74.2","0.5","0.0","13.3"
"Quintin Morris","BUF","5.7","78.3","0.4","0.1","13.2"
"Ross Dwelley","SF","3.6","76.5","0.6","0.0","13.0"
"Curtis Hodges","WAS","6.3","60.2","0.6","0.0","12.8"
"Luke Farrell","JAC","6.1","71.4","0.4","0.0","12.7"
"Tanner Hudson","CIN","6.4","71.6","0.3","0.0","12.4"
"Johnny Mundt","MIN","5.6","75.7","0.3","0.0","12.3"
"Chris Manhertz","DEN","5.1","68.6","0.4","0.0","11.9"
"Giovanni Ricci","CAR","1.9","81.5","0.4","0.1","11.4"
"Devin Asiasi","CIN","5.6","59.1","0.4","0.0","11.3"
"Armani Rogers","WAS","7.3","52.0","0.4","0.0","11.2"
"Shane Zylstra","DET","3.9","66.1","0.3","0.1","10.4"
"Grant Calcaterra","PHI","3.1","69.9","0.3","0.1","10.2"
"Eric Tomlinson","HOU","5.6","50.4","0.4","0.0","10.1"
"Trevon Wesco","TEN","2.4","60.7","0.3","0.1","9.1"
"Chris Myarick","NYG","3.7","56.6","0.3","0.1","8.9"
"Tommy Sweeney","NYG","3.7","56.6","0.3","0.1","8.8"
"Parker Hesse","ATL","3.3","52.6","0.2","0.0","8.1"
"Tanner Conner","MIA","4.0","37.8","0.3","0.0","7.5"
"Kevin Rader","TEN","0.8","55.5","0.3","0.1","7.5"
"Dominique Dafney","TB","3.7","38.3","0.3","0.0","7.2"
"David Wells","TB","3.0","29.5","0.4","0.0","7.1"
"Tyler Mabry","SEA","3.3","36.4","0.3","0.0","7.1"
"Anthony Firkser","NE","3.9","36.4","0.2","0.0","7.0"
"Mason Schreck","HOU","3.6","35.2","0.2","0.0","6.8"
"Dalton Keene","HOU","3.6","35.1","0.2","0.0","6.8"
"Sean McKeon","DAL","2.4","31.9","0.3","0.0","6.3"
"Noah Togiai","ARI","3.0","32.0","0.2","0.0","6.2"
"Charlie Woerner","SF","3.4","25.3","0.3","0.0","5.9"
"Feleipe Franks","ATL","3.1","29.4","0.2","0.0","5.8"
"Tyler Davis","GB","2.5","25.0","0.3","0.0","5.5"
"Pharaoh Brown","IND","1.9","41.1","0.1","0.1","5.4"
"Matt Sokol","NE","1.7","17.2","0.3","0.0","4.5"
"Nick Vannett","HOU","2.1","19.1","0.1","0.0","3.7"
"Sammis Reyes","JAC","1.4","10.4","0.1","0.0","2.4"
"Hunter Kampmoyer","LAC","0.5","3.9","0.1","0.0","1.0"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.3"
"MyCole Pruitt","ATL","0.0","30.6","0.4","0.0","0.0"
"Mitchell Wilcox","CIN","0.0","44.1","0.0","0.0","0.0"
"Tyree Jackson","PHI","0.0","14.0","0.2","0.0","0.0"
"Kendall Blanton","KC","0.0","79.8","0.3","0.1","0.0"
""
""
