"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kene Nwangwu","MIN","RB96","43.9","148.8","0.9","8.7","57.4","0.3","0.2","27.1"
"Durham Smythe","MIA","TE48","0.0","3.6","0.0","20.8","207.4","1.0","0.0","27.0"
"Cade Johnson","SEA","WR130","0.0","2.4","0.0","16.5","191.1","1.2","0.0","26.8"
"Randall Cobb","NYJ","WR131","0.1","0.6","0.0","19.9","199.2","1.1","0.1","26.6"
"Raheem Blackshear","CAR","RB97","30.4","116.8","1.2","9.5","71.6","0.2","0.4","26.5"
"Trayveon Williams","CIN","RB98","49.2","181.4","0.6","6.4","51.4","0.2","0.9","26.4"
"Brenton Strange","JAC","TE49","0.0","1.4","0.0","22.6","193.7","1.3","0.4","26.3"
"Cedrick Wilson Jr.","MIA","WR132","0.4","0.8","0.0","19.3","203.1","1.0","0.0","26.2"
"Jalen Guyton","LAC","WR133","1.2","5.7","0.0","15.8","201.4","0.9","0.0","26.1"
"Kylen Granson","IND","TE50","0.0","3.5","0.0","17.9","204.6","0.8","0.0","25.6"
"Jimmy Graham","NO","TE51","0.0","0.7","0.0","19.3","181.8","1.2","0.1","25.3"
"Tommy Tremble","CAR","TE52","0.0","3.3","0.0","16.7","159.3","1.6","0.5","25.1"
"Boston Scott","PHI","RB99","32.6","148.6","1.2","3.6","36.0","0.1","0.5","25.0"
"Kyle Philips","TEN","WR134","1.0","5.1","0.0","13.2","207.6","0.6","0.2","24.9"
"Cody Chrest","GB","WR135","0.0","8.5","0.0","13.8","168.7","1.1","0.0","24.5"
"Josiah Deguara","GB","TE53","0.0","0.4","0.0","19.3","183.1","1.0","0.0","24.4"
"David Bell","CLE","WR136","0.0","0.3","0.0","12.7","215.1","0.5","0.0","24.3"
"Albert Okwuegbunam","DEN","TE54","0.0","0.0","0.0","14.8","180.6","1.1","0.3","24.0"
"Harrison Bryant","CLE","TE55","0.0","1.2","0.0","17.8","186.8","0.9","0.2","23.8"
"Darnell Washington","PIT","TE56","0.0","1.7","0.0","15.2","194.8","0.8","0.4","23.7"
"Justin Watson","KC","WR137","0.0","0.3","0.0","13.7","179.9","0.9","0.0","23.6"
"Brevin Jordan","HOU","TE57","0.0","0.0","0.0","16.0","202.2","0.6","0.0","23.5"
"Sincere McCormick","LV","RB100","30.0","136.0","1.0","4.0","39.0","0.0","0.0","23.5"
"J.J. Taylor","NE","RB101","4.5","121.3","0.9","5.6","44.2","0.2","0.2","22.8"
"A.T. Perry","NO","WR138","0.9","5.6","0.0","0.0","226.0","0.0","0.2","22.8"
"Kenny McIntosh","SEA","RB102","39.0","146.4","0.5","4.0","49.1","0.0","0.2","22.2"
"Patrick Taylor Jr.","GB","RB103","21.2","113.8","0.9","6.1","42.9","0.3","0.1","22.2"
"Charlie Kolar","BAL","TE58","0.0","1.7","0.0","14.8","166.6","0.9","0.0","22.1"
"Mo Alie-Cox","IND","TE59","0.0","0.3","0.0","12.5","165.5","1.1","0.5","21.9"
"Colby Parkinson","SEA","TE60","0.0","0.3","0.0","14.5","171.3","0.8","0.0","21.9"
"Tucker Kraft","GB","TE61","0.0","0.9","0.0","14.0","168.3","0.9","0.4","21.8"
"Anthony McFarland Jr.","PIT","RB104","18.3","121.3","0.6","8.2","48.4","0.2","0.1","21.7"
"Tyler Scott","CHI","WR139","0.9","5.3","0.0","0.0","213.7","0.0","0.1","21.7"
"Josh Oliver","MIN","TE62","0.0","0.4","0.0","15.2","150.4","1.1","0.0","21.6"
"D'Ernest Johnson","JAC","RB105","34.3","141.6","0.5","4.7","41.9","0.1","0.0","21.5"
"Jonathan Williams","WAS","RB106","41.1","119.6","0.7","6.4","44.8","0.2","0.1","21.5"
"Chris Evans","CIN","RB107","28.9","104.0","0.3","9.9","74.0","0.3","0.2","21.4"
"Jamal Agnew","JAC","WR140","3.7","45.4","0.3","14.6","123.1","0.5","0.1","21.4"
"Travis Homer","CHI","RB108","19.4","97.9","0.3","9.8","80.9","0.3","0.1","21.3"
"James Robinson","NYG","RB109","48.4","156.0","0.2","4.0","49.2","0.1","0.4","21.3"
"Trey Palmer","TB","WR141","0.4","2.2","0.0","15.2","184.2","0.5","0.1","21.2"
"Dan Arnold","PHI","TE63","0.0","0.0","0.0","10.0","166.2","0.8","0.2","21.1"
"Tony Jones Jr.","DEN","RB110","40.8","121.7","0.7","5.2","36.5","0.2","0.1","21.0"
"Elijah Higgins","MIA","TE64","0.0","0.0","0.0","11.0","168.1","0.7","0.1","20.9"
"Trent Sherfield","BUF","WR142","0.0","0.8","0.0","11.6","168.3","0.7","0.0","20.9"
"Peyton Hendershot","DAL","TE65","0.0","3.9","0.0","11.2","135.7","1.1","0.1","20.5"
"Tyrion Davis-Price","SF","RB111","33.6","131.7","0.4","3.6","44.8","0.1","0.2","20.4"
"Brycen Hopkins","LAR","TE66","0.0","0.3","0.0","13.1","151.0","0.9","0.0","20.4"
"Garett Maag","MIN","WR143","0.0","8.2","0.0","12.1","138.0","0.9","0.0","20.3"
"Lynn Bowden Jr.","NO","WR144","0.0","15.9","0.1","12.3","136.9","0.7","0.0","20.1"
"Dyami Brown","WAS","WR145","0.4","7.2","0.0","11.8","159.2","0.6","0.0","20.1"
"Brandon Bolden","LV","RB112","19.4","84.5","0.6","7.9","64.1","0.2","0.2","19.8"
"Tre Nixon","NE","WR146","0.0","6.3","0.0","10.1","137.5","0.9","0.0","19.8"
"Lawrence Cager","NYG","WR147","0.0","1.0","0.0","11.5","134.0","1.0","0.0","19.7"
"Kyle Juszczyk","SF","RB113","8.3","28.2","0.3","13.0","108.7","0.6","0.0","19.5"
"Adam Trautman","DEN","TE67","0.0","0.3","0.0","11.4","163.1","0.6","0.2","19.4"
"Marlon Mack","ARI","RB114","46.8","165.5","0.0","0.0","27.8","0.0","0.0","19.3"
"Ian Thomas","CAR","TE68","0.0","0.5","0.0","16.5","150.5","0.7","0.0","19.2"
"Steven Sims Jr.","HOU","WR148","0.0","28.0","0.2","9.3","112.2","0.6","0.1","18.8"
"Daniel Bellinger","NYG","TE69","0.0","1.0","0.0","9.9","153.4","0.6","0.4","18.5"
"Teagan Quitoriano","HOU","TE70","0.0","0.5","0.0","10.9","128.2","0.9","0.0","18.0"
"KhaDarel Hodge","ATL","WR149","0.0","4.0","0.0","11.6","123.2","0.9","0.0","18.0"
"Gary Brightwell","NYG","RB115","18.2","96.0","0.7","6.0","33.4","0.2","0.1","17.8"
"John Bates","WAS","TE71","0.0","0.4","0.0","14.2","138.3","0.7","0.0","17.8"
"Mike Boone","HOU","RB116","23.3","99.9","0.4","5.8","40.3","0.2","0.1","17.5"
"Blake Bell","KC","TE72","4.2","14.4","0.1","9.4","88.9","1.0","0.0","17.5"
"Zach Pascal","ARI","WR150","0.1","0.8","0.0","14.0","141.3","0.5","0.0","17.4"
"Snoop Conner","JAC","RB117","22.7","100.2","0.8","3.2","21.8","0.1","0.1","17.4"
"Dare Ogunbowale","HOU","RB118","10.6","78.2","0.5","7.4","52.7","0.2","0.0","17.2"
"Calvin Austin III","PIT","WR151","0.3","3.8","0.0","11.3","141.0","0.5","0.1","17.2"
"Greg Ward","PHI","WR152","0.0","0.7","0.0","10.0","131.0","0.6","0.0","16.9"
"Miller Forristall","CLE","TE73","0.0","0.0","0.0","11.0","109.0","1.0","0.0","16.9"
"John Kelly Jr.","CLE","RB119","19.0","81.9","0.5","5.8","42.9","0.3","0.2","16.9"
"Deneric Prince","KC","RB120","29.7","99.1","0.3","4.4","42.9","0.1","0.2","16.8"
"Hunter Luepke","DAL","RB121","18.0","47.8","0.6","6.7","45.4","0.6","0.0","16.6"
"Dee Eskridge","SEA","WR153","3.0","20.8","0.1","13.4","111.1","0.5","0.0","16.6"
"Cameron Latu","SF","TE74","0.0","1.6","0.0","13.1","119.9","0.7","0.0","16.6"
"Eric Saubert","MIA","TE75","0.0","0.5","0.0","13.1","120.9","0.7","0.0","16.6"
"Tyler Badie","DEN","RB122","15.2","79.4","0.4","7.6","48.0","0.2","0.1","16.5"
"Rico Dowdle","DAL","RB123","33.5","101.7","0.4","2.8","29.0","0.1","0.1","16.1"
"Tre' McKitty","LAC","TE76","0.0","0.9","0.0","11.9","123.0","0.6","0.0","16.0"
"Salvon Ahmed","MIA","RB124","31.7","97.1","0.1","4.3","52.1","0.1","0.0","15.9"
"David Moore","TB","WR154","0.0","10.4","0.1","8.7","104.1","0.6","0.0","15.9"
"Shi Smith","CAR","WR155","0.1","0.9","0.0","10.1","129.1","0.5","0.2","15.9"
"Lew Nichols III","GB","RB125","25.5","101.8","0.5","4.0","27.1","0.0","0.1","15.8"
"Geoff Swaim","ARI","TE77","0.0","0.0","0.0","20.9","115.2","0.7","0.0","15.7"
"Myles Gaskin","MIA","RB126","32.4","98.1","0.1","4.4","56.3","0.1","0.4","15.7"
"Josh Whyle","TEN","TE78","0.0","1.8","0.0","10.5","111.0","0.7","0.0","15.5"
"Demetric Felton Jr.","CLE","RB127","11.7","58.8","0.2","10.7","75.5","0.2","0.1","15.5"
"Brittain Brown","LV","RB128","17.3","77.7","0.6","4.1","33.7","0.1","0.0","15.2"
"Jody Fortson","KC","TE79","0.0","0.6","0.0","10.8","124.4","0.6","0.5","15.1"
"Trenton Irwin","CIN","WR156","0.1","0.7","0.0","13.5","119.0","0.5","0.0","15.1"
"Andrew Ogletree","IND","TE80","0.0","0.0","0.0","10.0","88.0","1.0","0.0","14.8"
"Nelson Agholor","BAL","WR157","0.4","1.2","0.0","3.7","139.2","0.2","0.3","14.6"
"Jamison Crowder","NYG","WR158","0.1","1.0","0.0","3.4","141.2","0.1","0.1","14.5"
"Payne Durham","TB","TE81","0.0","2.8","0.0","13.7","108.2","0.6","0.4","14.4"
"Craig Reynolds","DET","RB129","16.7","67.8","0.3","5.1","47.0","0.2","0.0","14.3"
"Parker Washington","JAC","WR159","0.6","3.6","0.0","0.0","141.2","0.0","0.1","14.3"
"Connor Heyward","PIT","TE82","0.0","11.4","0.0","7.1","94.5","0.6","0.0","14.2"
"Kendall Hinton","DEN","WR160","0.1","5.4","0.0","9.6","105.1","0.5","0.0","14.2"
"Andre Baccellia","ARI","WR161","0.0","0.0","0.0","9.1","116.9","0.4","0.0","14.1"
"Deven Thompkins","TB","WR162","0.0","16.6","0.2","6.3","85.9","0.4","0.0","13.7"
"Damiere Byrd","CAR","WR163","0.0","0.4","0.0","7.7","103.4","0.5","0.0","13.7"
"Zack Kuntz","NYJ","TE83","0.0","0.3","0.0","7.1","104.4","0.5","0.0","13.5"
"Velus Jones Jr.","CHI","WR164","0.4","34.2","0.1","3.9","79.1","0.2","0.1","13.3"
"Damarea Crockett","NYJ","RB130","14.1","59.5","0.4","4.6","34.0","0.3","0.0","13.2"
"Ty'Son Williams","ARI","RB131","19.8","73.6","0.5","3.7","26.3","0.1","0.0","13.2"
"Jeremy Ruckert","NYJ","TE84","0.0","0.3","0.0","6.5","100.7","0.5","0.0","13.2"
"Justice Hill","BAL","RB132","17.2","71.6","0.3","6.5","39.0","0.2","0.2","13.2"
"Tre Tucker","LV","WR165","0.3","7.1","0.0","10.1","101.1","0.4","0.1","13.2"
"Jack Stoll","PHI","TE85","0.0","0.3","0.0","10.4","106.0","0.4","0.0","13.1"
"DeAndre Carter","LV","WR166","0.5","7.1","0.0","8.6","102.1","0.4","0.2","13.0"
"Davis Allen","LAR","TE86","0.0","0.5","0.0","16.2","86.6","0.8","0.3","13.0"
"Andrew Beck","HOU","TE87","0.0","12.9","0.1","8.5","95.5","0.3","0.0","12.9"
"Phillip Dorsett II","LV","WR167","0.1","1.3","0.0","10.7","92.8","0.6","0.0","12.9"
"Equanimeous St. Brown","CHI","WR168","0.3","9.0","0.0","6.7","91.6","0.4","0.0","12.8"
"Brandon Powell","MIN","WR169","1.1","26.5","0.0","10.2","79.9","0.4","0.1","12.6"
"Stephen Sullivan","CAR","TE88","0.0","0.0","0.0","8.8","94.2","0.5","0.0","12.6"
"Jalen Virgil","DEN","WR170","0.0","0.0","0.0","7.1","92.2","0.6","0.0","12.6"
"Mohamed Ibrahim","DET","RB133","29.5","93.5","0.0","0.0","34.7","0.0","0.2","12.4"
"Zach Gentry","PIT","TE89","0.0","0.3","0.0","10.6","92.1","0.5","0.0","12.4"
"Scott Miller","ATL","WR171","0.5","5.3","0.1","6.7","96.8","0.3","0.0","12.4"
"Jalen Tolbert","DAL","WR172","0.7","3.6","0.0","3.8","104.3","0.2","0.1","12.2"
"Hunter Long","LAR","TE90","0.0","0.6","0.0","5.3","94.3","0.5","0.1","12.1"
"Stone Smartt","LAC","TE91","0.0","0.6","0.0","8.7","78.0","0.7","0.0","12.0"
"Ko Kieft","TB","TE92","0.0","0.7","0.0","7.8","82.3","0.6","0.0","12.0"
"Cole Turner","WAS","TE93","0.0","0.3","0.0","3.7","98.3","0.3","0.1","11.8"
"Reggie Gilliam","BUF","RB134","4.5","11.0","0.1","8.5","65.0","0.6","0.0","11.6"
"Tre'Quan Smith","NO","WR173","0.1","0.3","0.0","5.8","94.1","0.4","0.0","11.6"
"James Mitchell","DET","TE94","0.0","0.0","0.0","5.7","88.8","0.5","0.0","11.6"
"Marcedes Lewis","CHI","TE95","0.0","0.0","0.0","8.0","49.0","1.1","0.0","11.5"
"Tyler Kroft","MIA","TE96","0.0","0.6","0.0","8.0","79.3","0.6","0.0","11.4"
"Keaton Mitchell","BAL","RB135","26.6","83.6","0.0","0.0","31.0","0.0","0.1","11.3"
"Ashton Dulin","IND","WR174","0.1","3.4","0.0","8.0","85.8","0.4","0.0","11.3"
"Ross Dwelley","SF","TE97","0.0","0.0","0.0","3.6","76.5","0.6","0.0","11.2"
"Brayden Willis","SF","TE98","0.0","0.0","0.0","10.0","72.0","0.7","0.0","11.1"
"Denzel Mims","DET","WR175","0.0","0.1","0.0","5.6","92.2","0.3","0.0","11.0"
"Drew Sample","CIN","TE99","0.0","0.4","0.0","8.6","81.7","0.5","0.1","10.9"
"Will Mallory","IND","TE100","0.0","0.1","0.0","5.1","80.1","0.5","0.0","10.8"
"Alec Ingold","MIA","RB136","4.9","12.7","0.1","10.2","67.3","0.4","0.0","10.8"
"Kaylon Geiger Sr.","TB","WR176","0.0","6.1","0.1","5.5","70.7","0.4","0.0","10.7"
"Cody Thompson","SEA","WR177","0.0","0.0","0.0","7.4","85.7","0.4","0.0","10.7"
"Jalen Reagor","MIN","WR178","2.9","15.3","0.1","7.5","70.1","0.3","0.1","10.6"
"Andrei Iosivas","CIN","WR179","0.4","2.7","0.0","0.0","105.5","0.0","0.1","10.6"
"Deonte Harty","BUF","WR180","1.6","8.3","0.0","2.6","92.4","0.2","0.3","10.5"
"Bryan Edwards","NO","WR181","0.0","1.3","0.0","7.7","82.8","0.3","0.0","10.4"
"Jesper Horsted","LV","TE101","0.0","0.4","0.0","5.8","74.2","0.5","0.0","10.4"
"Quintin Morris","BUF","TE102","0.0","0.4","0.0","5.7","78.3","0.4","0.1","10.4"
"Larry Rountree III","LAC","RB137","10.0","41.3","0.3","4.6","33.8","0.2","0.1","10.2"
"Montrell Washington","DEN","WR182","0.0","8.8","0.0","4.6","68.6","0.4","0.0","9.9"
"Jakeem Grant Sr.","CLE","WR183","0.0","24.2","0.2","4.8","52.2","0.2","0.0","9.8"
"Giovanni Ricci","CAR","TE103","4.6","10.2","0.1","3.0","64.3","0.3","0.1","9.8"
"Ray-Ray McCloud III","SF","WR184","2.8","26.9","0.3","3.9","46.4","0.2","0.1","9.7"
"Julius Chestnut","TEN","RB138","12.6","44.8","0.1","5.7","37.4","0.2","0.1","9.7"
"Trey Sermon","PHI","RB139","17.5","58.8","0.1","3.8","29.6","0.1","0.1","9.7"
"Curtis Hodges","WAS","TE104","0.0","0.6","0.0","6.3","60.2","0.6","0.0","9.6"
"Luke Farrell","JAC","TE105","0.0","0.3","0.0","6.1","71.4","0.4","0.0","9.6"
"C.J. Ham","MIN","RB140","7.1","20.7","0.1","7.6","49.7","0.3","0.0","9.6"
"Kendall Blanton","KC","TE106","0.0","0.0","0.0","0.0","79.8","0.3","0.1","9.6"
"Johnny Mundt","MIN","TE107","0.0","0.4","0.0","5.6","75.7","0.3","0.0","9.5"
"Darrynton Evans","BUF","RB141","10.6","36.6","0.1","8.9","39.7","0.3","0.1","9.5"
"Trestan Ebner","CHI","RB142","17.7","59.9","0.1","2.9","26.5","0.1","0.1","9.5"
"Demario Douglas","NE","WR185","0.4","2.4","0.0","0.0","93.7","0.0","0.1","9.4"
"Chris Manhertz","DEN","TE108","0.0","0.3","0.0","5.1","68.6","0.4","0.0","9.3"
"Dontayvion Wicks","GB","WR186","0.4","2.9","0.0","4.7","80.5","0.2","0.1","9.3"
"Tanner Hudson","CIN","TE109","0.0","0.3","0.0","6.4","71.6","0.3","0.0","9.2"
"Zander Horvath","LAC","RB143","8.2","19.6","0.0","5.9","21.9","0.8","0.0","9.2"
"Simi Fehoko","DAL","WR187","0.0","0.8","0.0","5.7","62.5","0.5","0.0","9.1"
"Mike Strachan","IND","WR188","0.0","0.0","0.0","5.7","67.9","0.3","0.0","8.8"
"Grant Calcaterra","PHI","TE110","0.0","0.3","0.0","3.1","69.9","0.3","0.1","8.7"
"Devin Asiasi","CIN","TE111","0.0","0.1","0.0","5.6","59.1","0.4","0.0","8.5"
"Shane Zylstra","DET","TE112","0.0","0.0","0.0","3.9","66.1","0.3","0.1","8.4"
"La'Mical Perine","KC","RB144","4.2","17.6","0.2","5.0","35.7","0.3","0.0","8.4"
"Jermar Jefferson","DET","RB145","4.6","19.4","0.2","4.4","34.5","0.3","0.0","8.3"
"Justin Shorter","BUF","WR189","0.3","2.1","0.0","0.0","81.8","0.0","0.1","8.2"
"Bryce Ford-Wheaton","NYG","WR190","0.3","2.1","0.0","0.0","81.8","0.0","0.1","8.2"
"Dante Pettis","CHI","WR191","0.1","4.5","0.0","6.2","64.6","0.2","0.0","8.2"
"Lance McCutcheon","LAR","WR192","0.0","0.7","0.0","3.8","63.4","0.3","0.0","8.0"
"Trevon Wesco","TEN","TE113","0.0","0.5","0.0","2.4","60.7","0.3","0.1","7.9"
"Darrius Shepherd","LAC","WR193","0.0","5.0","0.0","4.1","55.4","0.3","0.0","7.9"
"Kevin Austin Jr.","JAC","WR194","0.0","1.9","0.0","4.3","53.9","0.3","0.0","7.6"
"Byron Pringle","WAS","WR195","0.0","0.0","0.0","6.8","63.9","0.2","0.0","7.6"
"Godwin Igwebuike","ATL","RB146","0.0","13.3","0.1","6.0","43.5","0.2","0.1","7.6"
"Armani Rogers","WAS","TE114","0.0","0.0","0.0","7.3","52.0","0.4","0.0","7.6"
"Gunner Olszewski","PIT","WR196","0.0","24.1","0.0","2.3","39.6","0.2","0.1","7.4"
"Patrick Ricard","BAL","RB147","5.9","16.8","0.1","7.0","42.8","0.3","0.4","7.4"
"Jonathan Ward","TEN","RB148","10.1","42.9","0.2","1.9","14.0","0.1","0.0","7.4"
"Eric Tomlinson","HOU","TE115","0.0","0.3","0.0","5.6","50.4","0.4","0.0","7.3"
"Qadree Ollison","JAC","RB149","4.5","18.8","0.2","4.5","31.9","0.2","0.0","7.1"
"Kevin Rader","TEN","TE116","0.0","0.6","0.0","0.8","55.5","0.3","0.1","7.1"
"Chris Myarick","NYG","TE117","0.0","0.0","0.0","3.7","56.6","0.3","0.1","7.0"
"KaVontae Turpin","DAL","WR197","0.0","4.3","0.0","3.6","45.8","0.3","0.0","7.0"
"Tommy Sweeney","NYG","TE118","0.0","0.0","0.0","3.7","56.6","0.3","0.1","7.0"
"Jason Cabinda","DET","LB1","4.6","12.5","0.1","4.4","33.3","0.3","0.0","6.9"
"Patrick Laird","TB","RB150","4.4","18.2","0.2","4.1","30.5","0.2","0.0","6.9"
"Spencer Brown","CAR","RB151","4.6","19.7","0.2","4.1","28.5","0.2","0.0","6.9"
"Maurice Alexander","DET","WR198","0.0","0.0","0.0","3.6","48.3","0.3","0.0","6.8"
"Nate McCrary","GB","RB152","5.4","22.7","0.1","3.8","28.1","0.2","0.0","6.8"
"Matthew Slater","NE","WR199","0.0","1.1","0.0","2.3","54.2","0.2","0.0","6.7"
"Trinity Benson","DET","WR200","0.0","0.0","0.0","3.5","46.9","0.3","0.0","6.7"
"Ronnie Rivers","LAR","RB153","4.6","19.4","0.1","4.0","30.4","0.2","0.0","6.6"
"Joe Reed","CHI","WR201","0.0","7.7","0.0","2.1","45.4","0.2","0.0","6.6"
"Avery Williams","ATL","RB154","5.4","22.8","0.2","3.5","22.4","0.2","0.0","6.6"
"River Cracraft","MIA","WR202","0.1","0.7","0.0","4.6","51.0","0.2","0.0","6.5"
"Parker Hesse","ATL","TE119","0.0","0.3","0.0","3.3","52.6","0.2","0.0","6.5"
"Dezmon Patmon","BUF","WR203","0.0","0.0","0.0","3.6","44.0","0.3","0.0","6.4"
"Isaiah Coulter","BUF","WR204","0.0","0.0","0.0","3.7","44.4","0.3","0.0","6.4"
"Gerrid Doaks","HOU","RB155","4.7","19.8","0.1","4.0","27.7","0.2","0.0","6.3"
"Easop Winston Jr.","SEA","WR205","0.0","2.1","0.0","3.6","47.8","0.2","0.0","6.3"
"Dennis Houston","DAL","WR206","0.0","0.0","0.0","3.5","42.3","0.3","0.0","6.3"
"Andy Isabella","BUF","WR207","0.0","5.6","0.0","2.5","40.9","0.2","0.0","6.3"
"Stanley Morgan Jr.","CIN","WR208","0.0","0.0","0.0","3.8","42.9","0.3","0.0","6.2"
"Jake Funk","IND","RB156","5.5","23.2","0.1","3.5","24.1","0.2","0.0","6.1"
"Seth Williams","JAC","WR209","0.0","0.0","0.0","3.7","47.0","0.2","0.0","6.0"
"Jaleel McLaughlin","DEN","RB157","15.0","45.0","0.0","0.0","16.7","0.0","0.1","6.0"
"KeeSean Johnson","BUF","WR210","0.0","0.0","0.0","3.6","41.0","0.3","0.0","6.0"
"Jacob Harris","JAC","TE120","0.0","0.0","0.0","3.7","46.2","0.2","0.0","5.9"
"Jaelon Darden","CLE","WR211","0.0","2.9","0.0","2.4","45.2","0.2","0.0","5.9"
"Brandon Johnson","DEN","WR212","0.0","0.8","0.0","3.4","42.3","0.2","0.0","5.6"
"Danny Gray","SF","WR213","0.3","2.1","0.0","1.5","50.8","0.1","0.1","5.6"
"David Wells","TB","TE121","0.0","2.0","0.0","3.0","29.5","0.4","0.0","5.6"
"Tanner Conner","MIA","WR214","0.0","0.0","0.0","4.0","37.8","0.3","0.0","5.5"
"Jaret Patterson","WAS","RB158","9.3","30.1","0.1","2.4","12.5","0.1","0.0","5.5"
"James Proche II","BAL","WR215","0.0","1.2","0.0","2.1","43.7","0.2","0.0","5.5"
"MyCole Pruitt","ATL","TE122","0.0","0.0","0.0","0.0","30.6","0.4","0.0","5.5"
"Jalen Nailor","MIN","WR216","0.3","1.0","0.0","2.8","44.3","0.2","0.1","5.4"
"Tyler Mabry","SEA","TE123","0.0","0.4","0.0","3.3","36.4","0.3","0.0","5.4"
"Dominique Dafney","TB","TE124","0.0","0.0","0.0","3.7","38.3","0.3","0.0","5.4"
"Erik Ezukanma","MIA","WR217","0.0","0.0","0.0","3.6","42.2","0.2","0.0","5.3"
"Trent Taylor","CIN","WR218","0.0","5.8","0.0","2.3","32.2","0.2","0.0","5.1"
"C.J. Saunders","CAR","WR219","0.0","0.0","0.0","3.4","40.1","0.2","0.0","5.1"
"Anthony Firkser","NE","TE125","0.0","0.0","0.0","3.9","36.4","0.2","0.0","5.1"
"Anthony Schwartz","CLE","WR220","0.8","7.4","0.1","3.0","36.3","0.1","0.2","5.1"
"Sean McKeon","DAL","TE126","0.0","0.4","0.0","2.4","31.9","0.3","0.0","5.1"
"Michael Burton","DEN","RB159","4.7","12.1","0.1","3.3","19.3","0.2","0.0","5.1"
"Cam Sims","LV","WR221","0.1","0.3","0.0","3.4","44.8","0.1","0.0","5.0"
"Dez Fitzpatrick","PIT","WR222","0.0","0.0","0.0","3.3","39.9","0.2","0.0","5.0"
"Cody White","PIT","WR223","0.0","0.0","0.0","3.3","39.5","0.2","0.0","5.0"
"Adam Prentice","NO","RB160","0.0","11.3","0.1","4.0","19.7","0.2","0.0","5.0"
"Mason Schreck","HOU","TE127","0.0","0.0","0.0","3.6","35.2","0.2","0.0","5.0"
"Dalton Keene","HOU","TE128","0.0","0.0","0.0","3.6","35.1","0.2","0.0","5.0"
"Keke Coutee","NO","WR224","0.0","0.0","0.0","3.4","39.0","0.2","0.0","4.9"
"Keelan Cole Sr.","LV","WR225","0.0","0.0","0.0","3.3","38.9","0.2","0.0","4.9"
"Henry Pearson","GB","RB161","0.0","13.1","0.1","3.7","16.4","0.2","0.0","4.9"
"Mason Kinsey","TEN","WR226","0.0","0.0","0.0","3.1","38.5","0.2","0.0","4.9"
"Michael Woods II","CLE","WR227","0.0","0.0","0.0","3.1","38.2","0.2","0.0","4.8"
"Racey McMath","TEN","WR228","0.0","0.0","0.0","3.0","37.8","0.2","0.0","4.8"
"Noah Togiai","ARI","TE129","0.0","0.5","0.0","3.0","32.0","0.2","0.0","4.7"
"Chris Conley","SF","WR229","0.0","0.0","0.0","3.0","35.8","0.2","0.0","4.7"
"Tim Jones","JAC","WR230","0.0","0.7","0.0","2.5","36.3","0.2","0.0","4.6"
"Tylan Wallace","BAL","WR231","0.2","1.0","0.0","3.0","39.8","0.1","0.0","4.6"
"Malik Turner","IND","WR232","0.0","0.0","0.0","2.9","35.5","0.2","0.0","4.6"
"Frank Darby","ATL","WR233","0.0","0.6","0.0","1.8","35.0","0.2","0.0","4.5"
"Pharaoh Brown","IND","TE130","0.0","0.1","0.0","1.9","41.1","0.1","0.1","4.4"
"Vyncint Smith","IND","WR234","0.0","0.0","0.0","2.8","34.0","0.2","0.0","4.4"
"Mitchell Wilcox","CIN","TE131","0.0","0.0","0.0","0.0","44.1","0.0","0.0","4.4"
"Jalen Camp","HOU","WR235","0.0","3.3","0.0","2.0","30.8","0.1","0.0","4.3"
"Tyler Davis","GB","TE132","0.0","0.3","0.0","2.5","25.0","0.3","0.0","4.3"
"Austin Trammell","LAR","WR236","0.0","0.4","0.0","2.2","33.9","0.1","0.0","4.3"
"Josh Ali","ATL","WR237","0.0","0.0","0.0","2.8","32.7","0.2","0.0","4.3"
"Feleipe Franks","ATL","QB1","0.0","0.0","0.0","3.1","29.4","0.2","0.0","4.3"
"Quintez Cephus","DET","WR238","0.0","0.0","0.0","0.0","42.0","0.0","0.0","4.2"
"Charlie Woerner","SF","TE133","0.0","0.7","0.0","3.4","25.3","0.3","0.0","4.2"
"Dareke Young","SEA","WR239","0.0","0.3","0.0","2.9","31.6","0.2","0.0","4.1"
"Khari Blasingame","CHI","RB162","5.8","13.8","0.1","2.6","12.1","0.1","0.0","4.0"
"Jack Colletto","SF","RB163","0.0","7.3","0.1","3.6","16.3","0.2","0.0","3.9"
"Daurice Fountain","CHI","WR240","0.0","0.0","0.0","2.4","28.7","0.2","0.0","3.9"
"Nsimba Webster","CHI","WR241","0.0","0.0","0.0","2.4","28.5","0.2","0.0","3.9"
"Keith Smith","ATL","RB164","5.4","12.2","0.1","2.8","11.5","0.1","0.0","3.8"
"N'Keal Harry","MIN","WR242","0.3","2.3","0.0","0.0","34.5","0.0","0.0","3.7"
"Keith Kirkwood","NO","WR243","0.0","0.1","0.0","2.3","28.8","0.1","0.0","3.7"
"Matt Sokol","NE","TE134","0.0","0.9","0.0","1.7","17.2","0.3","0.0","3.6"
"Miles Boykin","PIT","WR244","0.0","0.3","0.0","1.6","28.9","0.1","0.0","3.5"
"James Washington","NO","WR245","0.0","0.1","0.0","1.9","26.8","0.1","0.0","3.5"
"Alex Erickson","NYJ","WR246","0.0","0.2","0.0","2.1","25.1","0.1","0.0","3.3"
"Ty Scott","KC","WR247","0.0","0.9","0.0","2.0","22.2","0.2","0.0","3.3"
